CardId,CardDate,Price,VenueID
80,3/14/2025,2.49,77
81,10/19/2024,39.99,286
82,6/27/2024,49.99,263
83,1/26/2025,3.29,231
84,11/24/2024,3.49,200
85,3/15/2025,22.99,236
86,7/5/2024,19.99,172
87,3/30/2025,4.99,53
88,5/8/2024,4.29,271
89,8/20/2024,9.99,313
90,11/17/2024,4.49,169
91,3/29/2025,3.49,294
92,8/21/2024,9.99,114
93,12/2/2024,4.19,197
94,1/5/2025,5.49,100
95,8/15/2024,12.99,236
96,4/21/2024,24.99,1
97,7/17/2024,14.99,238
98,10/17/2024,19.99,275
99,2/5/2025,5.99,218
100,9/16/2024,29.99,151
101,7/6/2024,1.99,124
102,11/26/2024,5.89,70
103,6/14/2024,19.99,318
104,10/14/2024,1.49,78
105,12/6/2024,4.49,320
106,4/17/2024,12.99,102
107,7/6/2024,4.49,23
108,7/10/2024,14.99,351
109,4/25/2024,1.49,161
110,1/22/2025,5.99,15
111,8/26/2024,149.99,94
112,10/17/2024,199.99,240
113,9/12/2024,2.99,218
114,10/30/2024,49.99,314
115,12/2/2024,2.99,289
116,8/31/2024,4.29,334
117,5/23/2024,4.99,132
118,4/12/2024,34.99,295
119,11/26/2024,3.99,161
120,4/5/2024,5.99,170
121,3/16/2025,39.99,164
122,4/6/2024,29.99,71
123,10/25/2024,2.49,134
124,7/15/2024,8.49,82
125,4/9/2024,49.99,13
126,5/20/2024,3.29,46
127,11/15/2024,2.89,351
128,7/20/2024,2.99,316
129,7/7/2024,24.99,252
130,10/7/2024,6.49,143
131,4/23/2024,3.49,82
132,4/14/2024,5.99,207
133,1/26/2025,2.49,391
134,10/6/2024,18.99,331
135,6/26/2024,2.49,16
136,2/11/2025,5.49,189
137,4/28/2024,4.89,119
138,10/2/2024,4.99,6
139,7/14/2024,18.99,272
140,5/15/2024,79.99,105
141,4/23/2024,14.99,177
142,3/14/2025,29.99,51
143,12/23/2024,0.99,149
144,8/6/2024,179.99,296
145,3/17/2025,22.99,357
146,6/27/2024,3.49,216
147,4/21/2024,24.99,282
148,5/14/2024,59.99,96
149,3/10/2025,39.99,373
150,2/11/2025,39.99,92
151,1/8/2025,14.99,55
152,1/22/2025,1.99,180
153,2/1/2025,5.99,207
154,2/15/2025,2.99,206
155,5/3/2024,4.49,386
156,8/8/2024,79.99,247
157,12/29/2024,19.99,82
158,10/27/2024,59.99,391
159,6/11/2024,5.29,320
160,6/25/2024,18.99,249
161,7/11/2024,6.29,34
162,8/7/2024,5.49,146
163,4/3/2024,3.49,96
164,5/3/2024,34.99,55
165,3/4/2025,3.99,384
166,12/11/2024,6.49,400
167,1/12/2025,2.29,245
168,12/28/2024,4.99,395
169,12/10/2024,199.99,362
170,9/24/2024,3.29,373
171,8/9/2024,14.99,88
172,7/23/2024,69.99,174
173,1/22/2025,19.99,27
174,7/28/2024,1.99,200
175,12/5/2024,39.99,170
176,11/5/2024,15.99,382
177,11/24/2024,6.49,301
178,4/25/2024,15.99,95
179,4/24/2024,59.99,316
180,3/4/2025,49.99,350
181,5/28/2024,4.99,38
182,12/13/2024,99.99,221
183,12/25/2024,2.79,307
184,10/26/2024,59.99,338
185,12/3/2024,29.99,125
186,2/24/2025,24.99,51
187,12/19/2024,24.99,112
188,9/2/2024,19.99,145
189,3/14/2025,6.99,78
190,9/15/2024,5.99,221
191,12/1/2024,49.99,360
192,5/7/2024,29.99,77
193,4/17/2024,14.99,22
194,12/4/2024,2.49,319
195,6/29/2024,3.99,177
196,6/6/2024,39.99,338
197,7/27/2024,39.99,317
198,1/8/2025,3.99,140
199,10/17/2024,399.99,356
200,8/16/2024,59.99,163
201,3/28/2025,19.99,56
202,11/13/2024,10.99,373
203,7/24/2024,4.99,297
204,11/13/2024,22.99,246
205,10/12/2024,3.49,173
206,10/29/2024,39.99,108
207,1/4/2025,24.99,42
208,4/8/2024,29.99,272
209,12/14/2024,15.99,355
210,1/7/2025,6.99,377
211,3/8/2025,3.99,127
212,5/8/2024,22.99,9
213,1/4/2025,3.99,379
214,10/29/2024,4.99,31
215,10/7/2024,2.49,318
216,1/28/2025,12.99,188
217,10/4/2024,5.49,67
218,1/25/2025,39.99,32
219,10/6/2024,19.99,138
220,6/25/2024,24.99,183
221,10/12/2024,5.99,50
222,11/27/2024,7.99,34
223,12/8/2024,6.99,252
224,12/31/2024,5.99,264
225,5/1/2024,49.99,187
226,7/15/2024,199.99,122
227,3/25/2025,22.99,225
228,6/20/2024,3.49,43
229,4/20/2024,89.99,49
230,2/23/2025,6.49,26
231,9/28/2024,6.49,45
232,3/19/2025,3.29,20
233,4/20/2024,99.99,74
234,10/12/2024,25.99,304
235,10/18/2024,29.99,280
236,7/1/2024,9.99,181
237,3/23/2025,12.99,204
238,5/18/2024,3.99,341
239,3/4/2025,4.29,205
240,2/24/2025,2.49,156
241,10/20/2024,5.59,21
242,5/8/2024,69.99,10
243,6/2/2024,29.99,168
244,9/25/2024,12.99,240
245,9/15/2024,2.49,323
246,12/27/2024,39,277
247,12/20/2024,19.99,344
248,7/30/2024,19.99,257
249,1/2/2025,39.99,123
250,12/26/2024,3.79,108
251,4/30/2024,14.99,260
252,10/24/2024,29.99,231
253,8/29/2024,4.99,115
254,3/31/2024,5.99,38
255,11/6/2024,14.99,248
256,10/1/2024,24.99,386
257,4/21/2024,2.99,309
258,9/17/2024,29.99,386
259,4/18/2024,24.99,12
260,4/24/2024,6.49,345
261,9/1/2024,5.49,1
262,6/24/2024,29.99,185
263,5/25/2024,49.99,217
264,3/9/2025,14.99,221
265,6/6/2024,5.49,128
266,11/17/2024,4.19,346
267,3/17/2025,1.89,271
268,9/16/2024,54.99,259
269,12/8/2024,10.99,365
270,9/5/2024,2.29,322
271,9/20/2024,44.99,247
272,1/29/2025,4.99,11
273,8/8/2024,19.99,46
274,4/4/2024,19.99,119
275,6/20/2024,9.99,173
276,5/28/2024,15.99,171
277,12/9/2024,34.99,59
278,9/13/2024,4.99,337
279,11/26/2024,2.5,26
280,1/17/2025,9.49,381
281,6/20/2024,24.99,64
282,11/17/2024,1.99,387
283,6/16/2024,2.99,291
284,6/20/2024,5.49,330
285,3/4/2025,2.99,276
286,1/5/2025,8.99,236
287,11/6/2024,12.99,315
288,10/11/2024,3.49,318
289,11/20/2024,49.99,54
290,4/13/2024,1.99,371
291,10/22/2024,2.79,231
292,8/26/2024,5.49,115
293,2/23/2025,1.99,126
294,1/11/2025,2.49,364
295,9/21/2024,5.49,329
296,7/9/2024,39.99,244
297,1/4/2025,3.99,76
298,11/6/2024,6.99,191
299,4/22/2024,59.99,225
300,12/5/2024,3.99,189
301,2/4/2025,3.99,124
302,5/26/2024,2.89,165
303,9/28/2024,1.99,268
304,11/9/2024,2.99,358
305,7/15/2024,29.99,47
306,5/25/2024,34.99,70
307,12/13/2024,3.49,354
308,1/5/2025,34.99,123
309,12/13/2024,19.99,296
310,7/25/2024,7.49,181
311,8/17/2024,15.99,300
312,9/14/2024,15.99,28
313,6/16/2024,5.49,71
314,2/21/2025,16.99,332
315,4/30/2024,4.29,167
316,3/21/2025,35.99,336
317,6/4/2024,45.99,50
318,2/24/2025,3.49,311
319,5/5/2024,19.99,114
320,9/26/2024,22.99,55
321,10/24/2024,49.99,21
322,6/28/2024,24.99,195
323,7/9/2024,44.99,157
324,11/12/2024,12.99,362
325,3/27/2025,5.99,181
326,8/28/2024,5.49,216
327,11/14/2024,54.99,13
328,9/29/2024,19.99,68
329,5/9/2024,12.99,142
330,10/1/2024,1.99,180
331,6/29/2024,3.29,309
332,6/10/2024,5.49,354
333,1/14/2025,29.99,153
334,12/14/2024,2.29,320
335,4/11/2024,2.29,270
336,11/3/2024,1.79,165
337,9/7/2024,24.99,34
338,12/31/2024,79.99,122
339,7/18/2024,3.69,324
340,1/6/2025,10.99,272
341,4/23/2024,2.49,215
342,2/14/2025,49.99,165
343,1/12/2025,3.99,252
344,12/22/2024,3.29,385
345,10/17/2024,45,204
346,5/1/2024,39.99,119
347,9/29/2024,349.99,204
348,4/26/2024,3.99,177
349,7/14/2024,22.99,158
350,9/20/2024,3.49,314
351,7/12/2024,19.99,329
352,7/5/2024,59.99,296
353,4/29/2024,3.29,251
354,7/9/2024,4.29,286
355,10/10/2024,3.79,298
356,6/1/2024,39.99,126
357,11/20/2024,9.99,6
358,9/5/2024,89.99,187
359,4/22/2024,3.49,398
360,3/20/2025,4.29,130
361,11/15/2024,39.99,17
362,9/25/2024,29.99,146
363,6/27/2024,3.99,396
364,12/4/2024,14.99,71
365,5/25/2024,3.79,141
366,11/28/2024,4.59,354
367,12/1/2024,34.99,296
368,11/18/2024,45.99,157
369,4/2/2024,4.99,392
370,1/8/2025,19.99,76
371,3/25/2025,109.99,226
372,10/6/2024,0.89,127
373,9/8/2024,4.99,283
374,5/9/2024,2.99,54
375,6/8/2024,26.99,141
376,1/3/2025,3.99,235
377,4/10/2024,3.99,274
378,5/18/2024,1.49,251
379,2/27/2025,39.99,143
380,5/18/2024,1.99,75
381,5/9/2024,24.99,323
382,11/13/2024,39.99,291
383,1/3/2025,15.99,213
384,4/6/2024,5.99,257
385,2/28/2025,299.99,180
386,11/14/2024,12.99,371
387,7/4/2024,7.49,69
388,7/15/2024,15.99,310
389,12/9/2024,15.99,150
390,12/27/2024,39.99,226
391,8/2/2024,4.99,192
392,10/13/2024,4.29,292
393,1/19/2025,2.99,216
394,9/25/2024,249.99,232
395,2/1/2025,2.49,60
396,10/6/2024,12.99,184
397,3/29/2025,2.79,322
398,1/2/2025,16.99,294
399,8/31/2024,19.99,245
400,6/22/2024,15.99,10
